model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen/Qwen3.5-0.8B,pp2048 (c1),22317.279153847398,32.06072526315207,22317.279153847398,32.06072526315207,,,,,94.79580266664318,0.09883561924030279,91.78253333326818,0.09883561924030279,94.79580266664318,0.09883561924030279
Qwen/Qwen3.5-0.8B,tg128 (c1),124.08930685475993,0.08394231061289992,124.08930685475993,0.08394231061289992,125.0,0.0,125.0,0.0,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c2),24335.49150383183,103.76067768925176,13151.576179469428,749.3158377866154,,,,,159.3196666666851,8.90891428266592,156.30639733331012,8.908914282665922,159.3196666666851,8.90891428266592
Qwen/Qwen3.5-0.8B,tg128 (c2),255.76116458747273,0.6516591312147146,129.47587444280313,0.8022220905252805,257.77503202516937,0.6567903054762582,130.49536951715592,0.808538799899494,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c5),7202.905214797099,12.808750496487773,5994.577341575556,2326.1499461676617,,,,,517.7367029333407,452.1108653273525,514.7234335999655,452.1108653273525,517.7367029333407,452.1108653273525
Qwen/Qwen3.5-0.8B,tg128 (c5),289.609348070503,0.39378015241358755,118.70661598737662,2.532208350011286,486.6666666666667,1.8856180831641267,122.13333333333334,1.024152766382481,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c10),7254.899381560703,23.501114334364875,3398.314479118982,2857.2922743390477,,,,,1334.1040266666673,947.5800320439018,1331.0907573332925,947.5800320439018,1334.1040266666673,947.5800320439018
Qwen/Qwen3.5-0.8B,tg128 (c10),359.3526300366686,0.6418917926022741,119.53227050186393,4.865472328864841,488.0,0.0,123.37377908166235,3.4587721148192077,,,,,,
Qwen/Qwen3.5-0.8B,ctx_pp @ d4096 (c1),24248.478147118338,114.28390255469044,24248.478147118338,114.28390255469044,,,,,171.98991466671032,0.8152142443433841,168.9766453333353,0.8152142443433841,171.98991466671032,0.8152142443433841
Qwen/Qwen3.5-0.8B,ctx_tg @ d4096 (c1),122.38696703150502,0.6361243475219602,122.38696703150502,0.6361243475219602,123.65796039031278,1.6877236733936458,123.65796039031278,1.6877236733936458,,,,,,
