model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen/Qwen3.5-0.8B,pp2048 (c1),21579.018378041303,209.46501647282318,21579.018378041303,209.46501647282318,,,,,98.34862400000095,0.9037984968561191,94.94667200002975,0.9037984968561191,98.34862400000095,0.9037984968561191
Qwen/Qwen3.5-0.8B,tg128 (c1),122.9863338380897,0.16190239789591207,122.9863338380897,0.16190239789591207,123.71269897190501,0.5070979904964736,123.71269897190501,0.5070979904964736,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c2),22534.011764987474,925.3841375331507,11501.600397497423,482.38744678576757,,,,,181.87444533332572,7.710593763218035,178.4724933333545,7.710593763218034,181.87444533332572,7.710593763218035
Qwen/Qwen3.5-0.8B,tg128 (c2),259.4364697367043,0.1099578754714322,129.7499952782183,0.05767649978876318,261.47927658502476,0.11082368551453804,130.771648784346,0.05813064545638995,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c5),6699.477322729279,325.8783418614348,4986.411805601863,1936.1190458743563,,,,,591.4703189333409,473.06832198027104,588.0683669333695,473.06832198027104,591.4703189333409,473.06832198027104
Qwen/Qwen3.5-0.8B,tg128 (c5),280.7600776855824,10.914612853873415,115.01038617351553,6.303764195395368,480.0,5.656854249492381,120.6,1.7435595774162693,,,,,,
Qwen/Qwen3.5-0.8B,pp2048 (c10),6967.615562875846,16.924202774429705,2712.7194670632985,2070.0427521894812,,,,,1421.8841120000036,937.9170683252664,1418.4821600000325,937.9170683252665,1421.8841120000036,937.9170683252664
Qwen/Qwen3.5-0.8B,tg128 (c10),353.05383988762634,7.920158662303526,118.38354887288325,5.1593439958828915,484.0,0.0,121.45790075887209,4.477209814290689,,,,,,
Qwen/Qwen3.5-0.8B,ctx_pp @ d4096 (c1),22613.76717533081,297.0670170578661,22613.76717533081,297.0670170578661,,,,,184.60586133335255,2.36658781689788,181.20390933338135,2.36658781689788,184.60586133335255,2.36658781689788
Qwen/Qwen3.5-0.8B,ctx_tg @ d4096 (c1),121.31600839903275,0.11411445095166091,121.31600839903275,0.11411445095166091,122.0,0.0,122.0,0.0,,,,,,
