model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
google/gemma-3-1b-it,pp2048 (c1),23506.85868240498,237.14092971394072,23506.85868240498,237.14092971394072,,,,,91.3485706666582,0.8732504056633383,87.1748586666854,0.8732504056633383,91.3485706666582,0.8732504056633383
google/gemma-3-1b-it,tg128 (c1),101.89008253342352,0.047604027203881495,101.89008253342352,0.047604027203881495,103.0,0.0,103.0,0.0,,,,,,
google/gemma-3-1b-it,pp2048 (c2),26246.759165911964,167.23142525460457,13527.006542999714,95.77571616326803,,,,,155.65603733333924,1.069239558974891,151.48232533336642,1.069239558974891,155.65603733333924,1.069239558974891
google/gemma-3-1b-it,tg128 (c2),214.29329232624022,0.09469956161157232,107.18322650789095,0.055918447150503224,216.0,0.0,108.0,0.0,,,,,,
google/gemma-3-1b-it,pp2048 (c5),6578.256500309598,10.221163633710548,7518.460667551407,3562.9789530764124,,,,,503.9613749333246,527.4238130389788,499.78766293335195,527.4238130389788,503.9613749333246,527.4238130389788
google/gemma-3-1b-it,tg128 (c5),242.57347966645315,0.1475784962751083,101.48842894778271,3.303456288488939,424.0,0.0,105.2,1.6,,,,,,
google/gemma-3-1b-it,pp2048 (c10),6584.790751729427,118.24490668641253,3713.36742228104,3426.6423814766813,,,,,1413.8556192000028,1061.8777593530845,1409.6819072000294,1061.8777593530845,1413.8556192000028,1061.8777593530845
google/gemma-3-1b-it,tg128 (c10),311.55873019319057,4.382772657662006,101.47529904344917,4.3403016694371575,424.0,0.0,106.2,0.39999999999999997,,,,,,
google/gemma-3-1b-it,ctx_pp @ d4096 (c1),27834.92169093702,387.79603678776806,27834.92169093702,387.79603678776806,,,,,151.35532266666965,2.0335897803099328,147.18161066669686,2.0335897803099328,151.35532266666965,2.0335897803099328
google/gemma-3-1b-it,ctx_tg @ d4096 (c1),101.65185796415251,0.15108977174610688,101.65185796415251,0.15108977174610688,102.33333333333333,0.4714045207910317,102.33333333333333,0.4714045207910317,,,,,,
google/gemma-3-1b-it,pp2048 @ d4096 (c1),18584.771631053303,418.1572326207763,18584.771631053303,418.1572326207763,,,,,114.42805866666579,2.515529883552698,110.25434666669298,2.515529883552698,114.42805866666579,2.515529883552698
google/gemma-3-1b-it,tg128 @ d4096 (c1),100.96048167595234,0.6475834140898562,100.96048167595234,0.6475834140898562,102.33333333333333,0.4714045207910317,102.33333333333333,0.4714045207910317,,,,,,
google/gemma-3-1b-it,ctx_pp @ d4096 (c2),27675.057722249243,155.43383577350045,14079.933203076616,89.3883600972763,,,,,295.0840613333317,1.8456460816526263,290.91034933335897,1.8456460816526263,295.0840613333317,1.8456460816526263
google/gemma-3-1b-it,ctx_tg @ d4096 (c2),213.65172540061846,0.05838735424665481,106.89873734797952,0.06879984821501968,216.0,0.0,108.0,0.0,,,,,,
google/gemma-3-1b-it,pp2048 @ d4096 (c2),19469.31692570141,92.24251310464629,9991.006100810428,65.70882052495486,,,,,209.16697066665316,1.3529412028001822,204.99325866668036,1.352941202800182,209.16697066665316,1.3529412028001822
google/gemma-3-1b-it,tg128 @ d4096 (c2),214.01174518981725,0.18007911450610975,107.10282533324435,0.12159278427745271,216.0,0.0,108.0,0.0,,,,,,
google/gemma-3-1b-it,ctx_pp @ d4096 (c5),10848.431663658552,27.198293594852135,8177.48554077849,3658.096166158185,,,,,740.3254015999967,581.5773039217793,736.1516896000238,581.5773039217793,740.3254015999967,581.5773039217793
google/gemma-3-1b-it,ctx_tg @ d4096 (c5),226.7110047807753,0.021375761426602982,97.32252375566362,6.669727792608438,424.0,0.0,105.2,1.5999999999999999,,,,,,
google/gemma-3-1b-it,pp2048 @ d4096 (c5),6135.83703849285,8.838821272098636,5509.78992658773,2363.6563951328235,,,,,593.4354762666771,539.5296970528666,589.2617642667044,539.5296970528667,593.4354762666771,539.5296970528666
google/gemma-3-1b-it,tg128 @ d4096 (c5),239.11071054895444,0.5457722749074673,99.93868184351518,3.1960627971040805,421.3333333333333,1.247219128924647,105.0,1.0954451150103321,,,,,,
google/gemma-3-1b-it,ctx_pp @ d4096 (c10),11115.38677269135,126.06103072601228,4884.024294404593,4951.030282261418,,,,,1782.65818026667,1206.5318453684706,1778.4844682666967,1206.5318453684704,1782.65818026667,1206.5318453684706
google/gemma-3-1b-it,ctx_tg @ d4096 (c10),279.3461534591882,6.982700540215399,97.35795949104298,6.717441437887437,422.3333333333333,2.6246692913372702,105.8,1.222020185321557,,,,,,
google/gemma-3-1b-it,pp2048 @ d4096 (c10),6428.133198601811,79.59387121369261,3459.1949346158963,3213.848110679033,,,,,1468.212730133331,1081.9474374739652,1464.0390181333578,1081.947437473965,1468.212730133331,1081.9474374739652
google/gemma-3-1b-it,tg128 @ d4096 (c10),306.6345381372428,0.40545546655486164,99.34963195207916,4.899546935993938,420.3333333333333,0.4714045207910317,105.66666666666667,1.1925695879998877,,,,,,
google/gemma-3-1b-it,ctx_pp @ d8192 (c1),29116.770980412624,191.2501669185433,29116.770980412624,191.2501669185433,,,,,285.53578666666607,1.8566816536274942,281.3620746666932,1.856681653627494,285.53578666666607,1.8566816536274942
google/gemma-3-1b-it,ctx_tg @ d8192 (c1),101.3839858761686,0.05771025543476311,101.3839858761686,0.05771025543476311,102.0,0.0,102.0,0.0,,,,,,
google/gemma-3-1b-it,pp2048 @ d8192 (c1),16100.261805496624,52.202181402579996,16100.261805496624,52.202181402579996,,,,,131.37794666668393,0.41149433663040214,127.20423466671113,0.41149433663040214,131.37794666668393,0.41149433663040214
google/gemma-3-1b-it,tg128 @ d8192 (c1),101.33659994065404,0.22440212264853182,101.33659994065404,0.22440212264853182,102.33333333333333,0.4714045207910317,102.33333333333333,0.4714045207910317,,,,,,
google/gemma-3-1b-it,ctx_pp @ d8192 (c2),28473.22105090719,82.86393210503115,14378.722528599776,49.6268610045109,,,,,573.8995786666692,1.9510926139652442,569.7258666666963,1.9510926139652442,573.8995786666692,1.9510926139652442
google/gemma-3-1b-it,ctx_tg @ d8192 (c2),211.4230926834404,0.20866684869130694,105.83023838815278,0.14881864890583496,214.0,0.0,107.0,0.0,,,,,,
google/gemma-3-1b-it,pp2048 @ d8192 (c2),17302.806379140216,25.40096519971848,8873.33389316442,48.48151122447602,,,,,234.98449333332397,1.260876625851536,230.81078133335117,1.260876625851536,234.98449333332397,1.260876625851536
google/gemma-3-1b-it,tg128 @ d8192 (c2),212.29072154395848,0.34975065282925555,106.28258386664521,0.2146634746748173,215.33333333333334,0.9428090415820634,107.83333333333333,0.37267799624996495,,,,,,
google/gemma-3-1b-it,ctx_pp @ d8192 (c5),15751.94625001248,17.441712363272817,8752.265863603778,3728.767134285109,,,,,1220.236161066676,721.5830312501298,1216.0624490667033,721.5830312501297,1220.236161066676,721.5830312501298
google/gemma-3-1b-it,ctx_tg @ d8192 (c5),195.2306658476014,1.1575473827911757,89.36475233295914,12.526327113556363,414.0,1.632993161855452,102.86666666666666,1.3597385369580761,,,,,,
google/gemma-3-1b-it,pp2048 @ d8192 (c5),5856.9655548770315,27.030981329515676,5074.039357952469,2150.956394531389,,,,,631.4466122666696,560.2304843918888,627.2729002666969,560.2304843918888,631.4466122666696,560.2304843918888
