model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c1),3191.525663705266,1514.4141096505934,3191.525663705266,1514.4141096505934,,,,,973.7187093332977,693.4467878516614,971.0598826666607,693.4467878516614,973.7187093332977,693.4467878516614
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c1),56.68583423212967,0.08052567090816874,56.68583423212967,0.08052567090816874,57.0,0.0,57.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c2),5168.273344128961,284.6446629915666,2664.302052599471,131.3296917051494,,,,,773.707565333306,40.45273105484248,771.048738666669,40.45273105484248,773.707565333306,40.45273105484248
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c2),94.35048715102283,3.000791797331291,47.57985615038894,1.0897802703535575,100.33333333333333,2.357022603955158,50.166666666666664,1.2133516482134197,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c5),4125.134570518193,4.325279352035429,872.766221278129,92.79592289520217,,,,,2373.399768533333,217.35516532142327,2370.7409418666957,217.3551653214232,2373.399768533333,217.35516532142327
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c5),109.09782265759056,0.996320452468583,23.64104655264966,0.8936567888408393,138.33333333333334,2.3570226039551585,27.666666666666668,0.4714045207910317,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 (c10),5112.437047879673,374.79198146830765,562.2238016933545,184.4144324744186,,,,,3830.5629306666715,604.0122062069067,3827.904104000035,604.0122062069069,3830.5629306666715,604.0122062069067
Qwen/Qwen3.5-35B-A3B-FP8,tg128 (c10),146.58070937705722,21.822729671715464,16.826341431421795,1.3816491686336014,186.66666666666666,4.714045207910316,18.666666666666668,0.4714045207910318,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c1),5384.782783289935,27.383565402916123,5384.782783289935,27.383565402916123,,,,,763.5262079999924,3.855428240732863,760.8673813333553,3.855428240732863,763.5262079999924,3.855428240732863
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c1),55.881470040227136,0.14527441683080344,55.881470040227136,0.14527441683080344,56.666666666666664,0.4714045207910317,56.666666666666664,0.4714045207910317,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c1),3188.649069934521,28.751783484937786,3188.649069934521,28.751783484937786,,,,,644.9892320000193,5.7823441449669355,642.3304053333823,5.7823441449669355,644.9892320000193,5.7823441449669355
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c1),55.618571642222626,0.07323581759257139,55.618571642222626,0.07323581759257139,56.0,0.0,56.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c2),6314.9230875147505,43.531489845750244,3165.9235286395306,21.945507946750368,,,,,1296.656650666667,9.031878502781007,1293.9978240000303,9.031878502781007,1296.656650666667,9.031878502781007
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c2),95.6149893821389,0.5928875368742645,47.820658968756995,0.29720374437602604,100.0,0.0,50.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c2),3808.782672063469,31.07635919003969,1910.8528252137796,15.740161570512587,,,,,1074.504141333307,8.808665867609287,1071.84531466667,8.808665867609287,1074.504141333307,8.808665867609287
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c2),95.18911125611896,0.28908906079338514,47.60995415206949,0.14570362419413826,100.0,0.0,50.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c5),5337.009700334686,295.96243837094084,1100.820927981242,77.98397709749833,,,,,3744.0395957333217,273.92205253521746,3741.380769066684,273.9220525352177,3744.0395957333217,273.92205253521746
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c5),113.79065976329048,2.0792825715956833,23.86311487547945,0.837551570465921,143.33333333333334,2.3570226039551585,28.666666666666668,0.4714045207910317,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c5),3233.0706517931044,145.57529676149787,668.1577814139034,45.62678365327149,,,,,3082.132942933337,210.3331875195642,3079.4741162666996,210.3331875195642,3082.132942933337,210.3331875195642
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c5),112.0321048797526,1.499978765032503,23.5797820781641,0.6143208183866139,141.66666666666666,4.714045207910316,28.333333333333332,0.9428090415820635,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d4096 (c10),5374.826957297118,84.66764827118364,549.5138269491206,29.014819310598273,,,,,7477.500788799993,365.34757635846825,7474.841962133354,365.34757635846825,7477.500788799993,365.34757635846825
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d4096 (c10),158.26838613925713,2.733388591205781,17.560127097390076,0.7011219369542986,190.0,0.0,19.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d4096 (c10),3564.073453845323,136.76563554234724,382.42093924241817,101.98379570334066,,,,,5538.790905066674,703.3432475749371,5536.1320784000345,703.3432475749372,5538.790905066674,703.3432475749371
Qwen/Qwen3.5-35B-A3B-FP8,tg128 @ d4096 (c10),144.67751716276487,19.355986614556503,17.434116120647015,1.189981440894934,190.0,0.0,19.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,ctx_pp @ d8192 (c1),6128.482290916271,18.703422331811126,6128.482290916271,18.703422331811126,,,,,1339.5438559998638,4.075585240364462,1336.8850293332268,4.075585240364462,1339.5438559998638,4.075585240364462
Qwen/Qwen3.5-35B-A3B-FP8,ctx_tg @ d8192 (c1),55.33995161040929,0.051535581275210934,55.33995161040929,0.051535581275210934,56.0,0.0,56.0,0.0,,,,,,
Qwen/Qwen3.5-35B-A3B-FP8,pp2048 @ d8192 (c1),3081.9333533083623,23.770955540240955,3081.9333533083623,23.770955540240955,,,,,667.2162293333107,5.116583461887253,664.5574026666736,5.116583461887253,667.2162293333107,5.116583461887253
